"","Reaction","Days","Subject","Group"
"98",416.6923,7,"337","B"
"99",455.8643,8,"337","B"
"100",458.9167,9,"337","B"
"101",236.1032,0,"349","B"
"102",230.3167,1,"349","B"
"103",238.9256,2,"349","B"
"104",254.922,3,"349","B"
"105",250.7103,4,"349","B"
"106",269.7744,5,"349","B"
"107",281.5648,6,"349","B"
"108",308.102,7,"349","B"
"109",336.2806,8,"349","B"
"110",351.6451,9,"349","B"
"111",256.2968,0,"350","B"
"112",243.4543,1,"350","B"
"113",256.2046,2,"350","B"
"114",255.5271,3,"350","B"
"115",268.9165,4,"350","B"
"116",329.7247,5,"350","B"
"117",379.4445,6,"350","B"
"118",362.9184,7,"350","B"
"119",394.4872,8,"350","B"
"120",389.0527,9,"350","B"
"121",250.5265,0,"351","B"
"122",300.0576,1,"351","B"
"123",269.8939,2,"351","B"
"124",280.5891,3,"351","B"
"125",271.8274,4,"351","B"
"126",304.6336,5,"351","B"
"127",287.7466,6,"351","B"
"128",266.5955,7,"351","B"
"129",321.5418,8,"351","B"
"130",347.5655,9,"351","B"
"131",221.6771,0,"352","B"
"132",298.1939,1,"352","B"
"133",326.8785,2,"352","B"
"134",346.8555,3,"352","B"
"135",348.7402,4,"352","B"
"136",352.8287,5,"352","B"
"137",354.4266,6,"352","B"
"138",360.4326,7,"352","B"
"139",375.6406,8,"352","B"
"140",388.5417,9,"352","B"
"141",271.9235,0,"369","B"
"142",268.4369,1,"369","B"
"143",257.2424,2,"369","B"
"144",277.6566,3,"369","B"
"145",314.8222,4,"369","B"
"146",317.2135,5,"369","B"
"147",298.1353,6,"369","B"
"148",348.1229,7,"369","B"
"149",340.28,8,"369","B"
"150",366.5131,9,"369","B"
"151",225.264,0,"370","B"
"152",234.5235,1,"370","B"
"153",238.9008,2,"370","B"
"154",240.473,3,"370","B"
"155",267.5373,4,"370","B"
"156",344.1937,5,"370","B"
"157",281.1481,6,"370","B"
"158",347.5855,7,"370","B"
"159",365.163,8,"370","B"
"160",372.2288,9,"370","B"
"161",269.8804,0,"371","B"
"162",272.4428,1,"371","B"
"163",277.8989,2,"371","B"
"164",281.7895,3,"371","B"
"165",279.1705,4,"371","B"
"166",284.512,5,"371","B"
"167",259.2658,6,"371","B"
"168",304.6306,7,"371","B"
"169",350.7807,8,"371","B"
"170",369.4692,9,"371","B"
"171",269.4117,0,"372","B"
"172",273.474,1,"372","B"
"173",297.5968,2,"372","B"
"174",310.6316,3,"372","B"
"175",287.1726,4,"372","B"
"176",329.6076,5,"372","B"
"177",334.4818,6,"372","B"
"178",343.2199,7,"372","B"
"179",369.1417,8,"372","B"
"180",364.1236,9,"372","B"
